"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Indre By",0,6,3,341,55.693628,12.575839,"E"
"2","Indre By",4.5,5,3,333,55.672194,12.589592,"E"
"3","Indre By",5,5,3,321,55.691668,12.581244,"E"
"4","Indre By",0,6,4,348,55.698474,12.589415,"E"
"5","Indre By",0,5,3,364,55.685309,12.588285,"E"
"6","Indre By",5,6,3,416,55.674351,12.576127,"E"
"7","Indre By",5,4,2,401,55.685847,12.590281,"E"
"8","Indre By",0,8,4,361,55.691763,12.576273,"E"
"9","Indre By",0,4,1,378,55.681119,12.58986,"E"
"10","Amager Vest",5,15,6,364,55.640544,12.588484,"E"
"11","Amager Øst",4.5,8,4,336,55.664083,12.614521,"E"
"12","Vesterbro-Kongens Enghave",0,2,1,454,55.661343,12.560134,"E"
"13","Indre By",0,4,2,346,55.675589,12.574768,"E"
"14","Vesterbro-Kongens Enghave",0,4,1,378,55.669935,12.547176,"E"
"15","Amager Øst",5,5,3,378,55.659985,12.631261,"E"
"16","Indre By",5,6,3,310,55.669748,12.5701,"E"
"17","Indre By",0,6,3,378,55.685468,12.567259,"E"
"18","Indre By",0,4,2,315,55.692199,12.575742,"E"
"19","Vesterbro-Kongens Enghave",0,7,3,378,55.670759,12.552745,"E"
"20","Vesterbro-Kongens Enghave",4.5,4,2,341,55.672757,12.561515,"E"
"21","Indre By",0,4,2,495,55.674052,12.575345,"E"
"22","Vesterbro-Kongens Enghave",5,3,1,318,55.67008,12.554557,"E"
"23","Indre By",0,2,1,393,55.681245,12.573918,"E"
"24","Indre By",0,4,3,393,55.679707,12.57981,"E"
"25","Indre By",5,8,4,500,55.682755,12.590932,"E"
"26","Indre By",0,7,3,378,55.684073,12.567038,"E"
"27","Indre By",5,4,2,357,55.685722,12.567493,"E"
"28","Indre By",4.5,6,3,333,55.68173,12.589728,"E"
"29","Indre By",0,4,2,454,55.675156,12.593089,"E"
"30","Indre By",5,5,2,318,55.670938,12.570364,"E"
"31","Indre By",4.5,5,3,409,55.674896,12.59176,"E"
"32","Indre By",4.5,6,2,384,55.683497,12.563145,"E"
"33","Vesterbro-Kongens Enghave",0,5,2,227,55.646024,12.55457,"E"
"34","Amager Øst",5,8,3,227,55.659728,12.609423,"E"
"35","Vesterbro-Kongens Enghave",5,3,1,236,55.671406,12.543095,"E"
"36","Indre By",0,8,3,272,55.678871,12.573318,"E"
"37","Indre By",4,4,2,251,55.682644,12.571008,"E"
"38","Østerbro",5,5,3,219,55.694108,12.572021,"E"
"39","Indre By",0,4,2,295,55.680326,12.576805,"E"
"40","Amager Vest",5,4,1,227,55.664315,12.578822,"E"
